City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Folkestone,51.0833,1.1833,43.38,70,75,18.41,GB,1619072137
Punta Arenas,-53.15,-70.9167,41.0,87,90,8.05,CL,1619071844
Buraidah,26.326,43.975,86.0,25,0,3.44,SA,1619072137
Lagoa,39.05,-27.9833,59.81,91,57,31.03,PT,1619072138
Tabuk,17.4189,121.4443,86.67,58,100,10.87,PH,1619072138
Hilo,19.7297,-155.09,70.5,73,75,6.22,US,1619072139
Jamestown,42.097,-79.2353,26.6,68,90,14.97,US,1619072139
Port Alfred,-33.5906,26.891,68.13,82,100,11.9,ZA,1619072140
‘Ewa Beach,21.3156,-158.0072,75.4,64,1,5.75,US,1619072140
Port Keats,-14.25,129.55,95.25,36,63,1.74,AU,1619072140
Nanortalik,60.1432,-45.2371,36.27,75,100,4.18,GL,1619072141
Ilulissat,69.2167,-51.1,28.4,40,35,18.41,GL,1619072141
Bhadrāchalam,17.6667,80.8833,98.17,34,80,5.23,IN,1619072142
Rikitea,-23.1203,-134.9692,77.38,75,100,15.01,PF,1619072142
Bengkulu,-3.8004,102.2655,81.54,79,70,4.88,ID,1619072142
Yellowknife,62.456,-114.3525,17.29,62,90,4.61,CA,1619071991
Atuona,-9.8,-139.0333,80.37,77,68,19.8,PF,1619072143
Bluff,-46.6,168.3333,53.01,84,100,5.28,NZ,1619072143
Kandi,11.1342,2.9386,78.51,64,95,4.41,BJ,1619072144
New Norfolk,-42.7826,147.0587,53.69,61,86,4.0,AU,1619072144
Port Macquarie,-31.4333,152.9167,68.92,53,2,4.63,AU,1619072144
Bilma,18.6853,12.9164,82.2,15,26,7.83,NE,1619071999
Umarizal,-5.9906,-37.8144,72.45,95,82,2.33,BR,1619072145
São Filipe,14.8961,-24.4956,71.51,71,93,9.95,CV,1619072145
Tasiilaq,65.6145,-37.6368,23.0,68,90,21.85,GL,1619072146
Rochegda,62.8,43.25,38.43,91,100,9.57,RU,1619072146
Port Blair,11.6667,92.75,87.8,79,40,5.75,IN,1619072147
Mananjary,-21.2167,48.3333,75.4,80,91,4.94,MG,1619072147
Ushuaia,-54.8,-68.3,42.8,70,75,2.3,AR,1619071983
Ruska Poliana,49.417,31.9201,53.58,61,13,10.89,UA,1619072148
Carnarvon,-24.8667,113.6333,84.2,48,95,10.36,AU,1619072148
Hermanus,-34.4187,19.2345,68.0,83,87,11.01,ZA,1619072119
Bethel,41.3712,-73.414,33.69,66,9,1.99,US,1619072149
Hong Kong,22.2855,114.1577,79.83,54,20,9.22,HK,1619072149
Champerico,14.3,-91.9167,64.44,96,98,0.76,GT,1619072150
Leshukonskoye,64.8989,45.7622,37.87,95,100,10.25,RU,1619072150
Mikkeli,61.6886,27.2723,38.05,93,20,3.44,FI,1619072121
Lincoln,40.8,-96.667,31.91,64,1,3.44,US,1619071903
Chokurdakh,70.6333,147.9167,15.12,90,100,11.77,RU,1619072151
Albany,42.6001,-73.9662,31.62,69,63,9.75,US,1619072151
Dubbo,-32.25,148.6167,62.6,29,40,16.11,AU,1619072152
Sinnamary,5.3833,-52.95,76.6,88,96,10.96,GF,1619072152
San Andrés,12.5847,-81.7006,80.6,74,40,12.66,CO,1619072152
Tiksi,71.6872,128.8694,14.4,76,92,11.12,RU,1619072153
Busselton,-33.65,115.3333,68.88,65,99,1.99,AU,1619072153
Camden,39.7835,-74.9663,38.32,56,37,3.0,US,1619072154
Ouadda,8.0777,22.4007,75.58,67,65,6.62,CF,1619072154
Port Elizabeth,-33.918,25.5701,62.6,100,40,3.44,ZA,1619072155
Castro,-24.7911,-50.0119,56.44,91,91,6.64,BR,1619072155
Lima,-12.0432,-77.0282,64.49,88,90,8.05,PE,1619072038
Adré,13.4667,22.2,83.55,10,95,15.14,TD,1619072156
Ostrovnoy,68.0531,39.5131,36.0,99,100,8.95,RU,1619072156
Saint Paul Harbor,57.79,-152.4072,42.8,81,90,19.57,US,1619072157
Nikolskoye,59.7035,30.7861,39.07,93,75,6.71,RU,1619072157
Mar del Plata,-38.0023,-57.5575,67.35,82,0,16.11,AR,1619071924
San Policarpo,12.1791,125.5072,82.17,83,57,11.03,PH,1619072157
Nishihara,26.1842,127.7558,70.18,94,90,17.27,JP,1619072158
Cape Town,-33.9258,18.4232,57.88,94,90,8.05,ZA,1619072101
Mtwara,-10.2667,40.1833,77.0,83,20,20.71,TZ,1619072158
Hithadhoo,-0.6,73.0833,82.98,69,32,6.13,MV,1619072159
Beyneu,45.3167,55.2,61.5,9,100,27.18,KZ,1619072159
Novo Aripuanã,-5.1206,-60.3797,72.07,98,100,0.78,BR,1619072160
Mataura,-46.1927,168.8643,53.01,84,99,2.3,NZ,1619072160
Saldanha,-33.0117,17.9442,53.6,94,6,5.3,ZA,1619072161
Norrtälje,59.758,18.705,36.75,93,90,12.66,SE,1619072161
Iqaluit,63.7506,-68.5145,14.0,79,90,13.8,CA,1619072162
Upernavik,72.7868,-56.1549,15.28,68,100,3.69,GL,1619072162
Khatanga,71.9667,102.5,28.69,93,100,15.73,RU,1619072162
Jonuta,18.0833,-92.1333,72.82,96,26,0.92,MX,1619072163
Asunción,-25.3007,-57.6359,73.2,64,0,6.91,PY,1619072163
Ancud,-41.8697,-73.8203,39.25,100,90,6.22,CL,1619072164
Saint Anthony,45.0205,-93.218,36.99,60,90,4.61,US,1619072164
Avarua,-21.2078,-159.775,78.8,78,75,13.8,CK,1619072164
Marfino,55.7028,37.3822,47.5,81,75,11.18,RU,1619072165
Faya,18.3851,42.4509,74.3,12,0,4.61,SA,1619072165
Tombouctou,20.0,-3.0,80.13,9,25,10.31,ML,1619072166
Naze,28.3667,129.4833,73.4,68,75,19.57,JP,1619072166
Denpasar,-8.65,115.2167,86.0,66,20,6.91,ID,1619071876
Dikson,73.5069,80.5464,28.2,89,100,16.33,RU,1619072167
Manzhouli,49.6,117.4333,64.71,28,70,11.25,CN,1619072167
